country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2001,95,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2002,96,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2003,93,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2004,96,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2005,97,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2006,95,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2007,97,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2008,98,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2009,97,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2010,99,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2011,99,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2012,98,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2013,99,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2014,98,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2015,97,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2016,96,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2017,96,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2018,94,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2019,95,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2020,91,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2021,87,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2022,86,Total,Units,%,Estimated value,,,12 to 23 months old
Albania,AL,ALB,8,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2023,83,Total,Units,%,Estimated value,,,12 to 23 months old
Algeria,DZ,DZA,12,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2017,88,Total,Units,%,Estimated value,,,12 to 23 months old
Algeria,DZ,DZA,12,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2018,80,Total,Units,%,Estimated value,,,12 to 23 months old
Algeria,DZ,DZA,12,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2019,80,Total,Units,%,Estimated value,,,12 to 23 months old
Algeria,DZ,DZA,12,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2020,80,Total,Units,%,Estimated value,,,12 to 23 months old
Algeria,DZ,DZA,12,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2021,79,Total,Units,%,Estimated value,,,12 to 23 months old
Algeria,DZ,DZA,12,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2022,79,Total,Units,%,Estimated value,,,12 to 23 months old
Algeria,DZ,DZA,12,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2023,99,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1997,90,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1998,90,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1999,97,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2000,97,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2001,97,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2002,98,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2003,96,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2004,98,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2005,94,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2006,91,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2007,94,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2008,98,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2009,98,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2010,99,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2011,99,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2012,98,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2013,95,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2014,96,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2015,96,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2016,97,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2017,99,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2018,99,Total,Units,%,Estimated value,,,12 to 23 months old
